n,forma_recursiva_time_us2,forma_matematica_time_us2
0,0.447499769506976,0.32999996619764715
1,0.4225003067404032,0.23749998945277184
2,1.1025000276276842,0.2224998752353713
3,2.7400001272326335,0.2224998752353713
4,2.957499964395538,0.21749983716290444
5,9.084999692277052,0.22499989427160472
6,10.524999743211083,0.2224998752353713
7,13.962500088382512,0.21749983716290444
8,22.864999846206047,0.21999985619913787
9,34.69749972282443,0.21999985619913787
10,46.11750009644311,0.21999985619913787
11,39.90000004705507,0.222500239033252
12,61.96000031195581,0.222500239033252
13,150.51250011310913,0.22000021999701858
14,259.2599998024525,0.22000021999701858
15,376.21000010403804,0.21999985619913787
16,562.0225001621293,0.21999985619913787
17,1208.3224999514641,0.21999985619913787
18,1343.4899999992922,0.2224998752353713
19,2846.5575000154786,0.21999985619913787
20,4225.827499976731,0.21749983716290444
21,6549.554999946849,0.2224998752353713
22,9786.7150001548,0.22000021999701858
23,17906.17749975354,0.22000021999701858
24,25847.82500016445,0.21999985619913787
25,51360.967499931576,0.2224998752353713
26,68378.50750016514,0.2224998752353713
27,108556.27999990247,0.21999985619913787
28,179575.1925001241,0.2224998752353713
29,297612.61249987,0.21999985619913787
